 - Plot 0	 - Plot 0	 - Plot 1	 - Plot 1
0	228.70n	0	51.80n
0	48.64n	0	60.79n
0.1	113.70n	0	69.86n
0.1	223.54n	0	83.70n
0.1	249.15n	0	96.45n
0.1	81.26n	0	113.31n
0.1	185.39n	0.1	133.68n
0.1	158.31n	0.1	153.54n
0.1	320.84n	0.1	179.15n
0.1	432.43n	0.1	207.84n
0.1	379.86n	0.1	244.07n
0.1	504.93n	0.1	284.77n
0.1	285.03n	0.1	326.67n
0.2	503.70n	0.1	379.59n
0.2	541.24n	0.1	449.97n
0.2	585.30n	0.1	530.30n
0.2	638.17n	0.1	605.57n
0.2	607.94n	0.2	695.24n
0.2	788.34n	0.2	818.65n
0.2	847.08n	0.2	968.52n
0.2	895.97n	0.2	1.12u
0.2	1.04u	0.2	1.32u
0.2	968.84n	0.2	1.50u
0.2	1.19u	0.2	1.81u
0.3	1.34u	0.2	2.05u
0.3	1.50u	0.2	2.44u
0.3	1.69u	0.2	2.84u
0.3	1.79u	0.2	3.20u
0.3	2.18u	0.3	3.83u
0.3	2.42u	0.3	4.43u
0.3	2.73u	0.3	5.19u
0.3	3.18u	0.3	6.04u
0.3	3.54u	0.3	7.09u
0.3	4.05u	0.3	8.08u
0.4	4.86u	0.3	9.48u
0.4	5.72u	0.3	11.09u
0.4	6.78u	0.3	12.83u
0.4	7.86u	0.3	14.73u
0.4	9.29u	0.4	17.43u
0.4	10.84u	0.4	20.21u
0.4	12.56u	0.4	23.39u
0.4	14.84u	0.4	27.37u
0.4	17.64u	0.4	31.71u
0.4	21.25u	0.4	36.28u
0.4	25.54u	0.4	42.05u
0.4	29.19u	0.4	47.63u
0.5	34.51u	0.4	57.85u
0.5	40.82u	0.4	65.22u
0.5	47.24u	0.4	76.75u
0.5	56.69u	0.4	84.63u
0.5	65.32u	0.5	99.99u
0.5	75.32u	0.5	113.78u
0.5	87.72u	0.5	129.58u
0.5	100.85u	0.5	149.87u
0.5	116.90u	0.5	163.99u
0.5	133.51u	0.5	191.98u
0.5	152.82u	0.5	211.54u
0.5	175.11u	0.5	231.74u
0.5	200.18u	0.5	267.44u
0.6	226.73u	0.5	290.20u
0.6	252.82u	0.5	329.58u
0.6	323.82u	0.5	366.36u
0.6	388.12u	0.5	405.78u
0.6	456.16u	0.6	453.43u
0.6	566.97u	0.6	478.80u
0.6	673.52u	0.6	612.12u
0.6	783.70u	0.6	676.51u
0.6	953.72u	0.6	769.60u
0.6	1.16m	0.6	942.13u
0.6	1.42m	0.6	1.05m
0.6	1.68m	0.6	1.21m
0.7	3.59m	0.6	1.42m
0.7	4.75m	0.6	1.61m
0.7	5.77m	0.6	1.91m
0.7	6.72m	0.6	2.26m
0.7	7.81m	0.7	3.90m
0.7	9.02m	0.7	4.95m
0.7	10.59m	0.7	5.90m
0.7	12.09m	0.7	6.73m
0.8	13.69m	0.7	7.89m
0.8	15.68m	0.7	8.95m
0.8	17.67m	0.7	10.47m
0.8	19.96m	0.7	11.83m
0.8	22.45m	0.8	13.30m
0.8	25.12m	0.8	15.29m
0.8	28.08m	0.8	17.34m
0.8	31.24m	0.8	19.34m
0.8	34.45m	0.8	23.11m
0.8	37.86m	0.8	25.66m
0.8	41.78m	0.8	29.00m
0.8	45.79m	0.8	32.94m
0.8	50.05m	0.8	36.36m
0.9	54.66m	0.8	40.54m
0.9	59.49m	0.8	46.77m
0.9	64.57m	0.8	51.52m
0.9	77.22m	0.8	58.77m
0.9	82.37m	0.9	65.69m
0.9	87.95m	0.9	72.05m
0.9	101.68m	0.9	82.23m
0.9	107.21m	0.9	109.74m
0.9	113.01m	0.9	120.76m
0.9	129.01m	0.9	135.47m
0.9	135.02m	0.9	166.67m
1	151.87m	0.9	184.16m
1	158.10m		
1	175.53m		
1	182.05m		
