 - Plot 0, - Plot 0, - Plot 1, - Plot 1
0,20.97n,0.1,11.11n
0,105.59n,0.1,13.10n
0,97.20n,0.1,15.90n
0,159.56n,0.1,19.63n
0.1,138.74n,0.1,24.54n
0.1,220.44n,0.1,28.41n
0.1,169.46n,0.1,34.81n
0.1,215.22n,0.1,43.02n
0.1,238.95n,0.1,50.70n
0.1,277.06n,0.2,58.93n
0.1,284.05n,0.2,74.80n
0.1,328.45n,0.2,87.54n
0.1,370.70n,0.2,108.40n
0.1,443.19n,0.2,133.44n
0.1,465.75n,0.2,155.29n
0.2,480.21n,0.2,189.43n
0.2,578.39n,0.2,235.30n
0.2,517.83n,0.2,276.68n
0.2,558.14n,0.2,337.38n
0.2,659.21n,0.3,419.56n
0.2,531.61n,0.3,511.18n
0.2,663.87n,0.3,608.50n
0.2,682.73n,0.3,718.38n
0.2,805.11n,0.3,909.27n
0.2,884.04n,0.3,1.08u
0.3,983.70n,0.3,1.29u
0.3,936.54n,0.3,1.67u
0.3,1.09u,0.3,1.99u
0.3,1.21u,0.3,2.33u
0.3,1.42u,0.3,2.80u
0.3,1.55u,0.4,3.41u
0.3,1.68u,0.4,4.16u
0.3,2.02u,0.4,4.82u
0.3,2.31u,0.4,6.12u
0.3,2.56u,0.4,7.26u
0.3,3.02u,0.4,8.70u
0.4,3.47u,0.4,10.58u
0.4,3.87u,0.4,12.62u
0.4,4.60u,0.4,14.89u
0.4,5.65u,0.4,18.27u
0.4,6.68u,0.4,21.82u
0.4,7.88u,0.5,26.70u
0.4,9.47u,0.5,31.44u
0.4,11.19u,0.5,36.49u
0.4,13.63u,0.5,44.28u
0.4,16.49u,0.5,51.91u
0.4,19.71u,0.5,61.58u
0.5,24.20u,0.5,73.04u
0.5,28.22u,0.5,83.02u
0.5,33.55u,0.5,99.48u
0.5,40.80u,0.5,114.57u
0.5,48.29u,0.5,133.11u
0.5,57.28u,0.5,154.17u
0.5,67.42u,0.5,173.71u
0.5,79.00u,0.6,228.07u
0.5,94.23u,0.6,253.54u
0.5,109.74u,0.6,318.85u
0.5,127.12u,0.6,382.53u
0.5,147.34u,0.6,450.89u
0.5,168.55u,0.6,578.01u
0.6,222.96u,0.6,651.34u
0.6,245.79u,0.6,804.02u
0.6,308.78u,0.6,960.99u
0.6,374.50u,0.6,1.14m
0.6,442.60u,0.6,1.43m
0.6,561.04u,0.7,1.65m
0.6,639.23u,0.7,2.75m
0.6,785.23u,0.7,3.74m
0.6,943.11u,0.7,4.59m
0.6,1.12m,0.7,5.55m
0.6,1.39m,0.7,6.83m
0.7,1.60m,0.7,7.96m
0.7,2.87m,0.7,9.58m
0.7,3.81m,0.7,11.35m
0.7,4.59m,0.8,13.57m
0.7,5.47m,0.8,15.88m
0.7,6.39m,0.8,19.26m
0.7,7.47m,0.8,23.05m
0.7,8.66m,0.8,27.25m
0.7,9.96m,0.8,32.44m
0.8,11.38m,0.8,39.11m
0.8,13.03m,0.8,47.01m
0.8,14.87m,0.8,55.82m
0.8,16.90m,0.8,67.14m
0.8,18.96m,0.8,80.09m
0.8,21.23m,0.8,95.91m
0.8,23.99m,0.9,115.55m
0.8,26.86m,0.9,140.80m
0.8,29.90m,0.9,168.27m
0.8,33.09m,,
0.8,36.49m,,
0.8,40.24m,,
0.9,44.24m,,
0.9,48.41m,,
0.9,52.94m,,
0.9,57.74m,,
0.9,62.67m,,
0.9,67.94m,,
0.9,73.50m,,
0.9,79.15m,,
0.9,85.16m,,
0.9,91.67m,,
1,98.32m,,
1,105.24m,,
1,112.43m,,
1,119.99m,,
1,127.75m,,
1,135.73m,,
1,144.10m,,
1,152.88m,,
1,161.78m,,
1,170.84m,,
1.1,180.46m,,
1.1,190.26m,,
