 - Plot 0, - Plot 0
0,94.65n
0,40.58n
0,122.67n
0,62.45n
0.1,168.80n
0.1,189.79n
0.1,228.18n
0.1,281.30n
0.1,82.61n
0.1,245.76n
0.1,192.59n
0.1,173.52n
0.1,401.68n
0.1,256.20n
0.1,446.54n
0.2,306.37n
0.2,411.09n
0.2,527.94n
0.2,281.05n
0.2,487.73n
0.2,444.91n
0.2,558.24n
0.2,792.77n
0.2,622.81n
0.2,519.97n
0.2,449.63n
0.3,662.70n
0.3,415.79n
0.3,556.89n
0.3,592.21n
0.3,536.17n
0.3,682.88n
0.3,702.49n
0.3,593.51n
0.3,816.29n
0.3,835.48n
0.4,795.81n
0.4,789.89n
0.4,805.89n
0.4,1.01u
0.4,1.08u
0.4,818.45n
0.4,1.02u
0.4,1.01u
0.4,1.02u
0.4,1.07u
0.4,836.12n
0.5,1.03u
0.5,1.11u
0.5,1.22u
0.5,1.40u
0.5,1.14u
0.5,957.73n
0.5,1.18u
0.5,1.39u
0.5,1.21u
0.5,1.18u
0.5,1.29u
0.6,1.44u
0.6,1.46u
0.6,1.45u
0.6,1.26u
0.6,1.39u
0.6,1.29u
0.6,1.50u
0.6,1.58u
0.6,1.50u
0.6,1.61u
0.7,1.38u
0.7,1.63u
0.7,1.46u
0.7,1.53u
0.7,1.81u
0.7,1.54u
0.7,1.66u
0.7,1.88u
0.7,1.44u
0.7,1.90u
0.7,1.72u
0.8,1.85u
0.8,1.86u
0.8,1.66u
0.8,1.84u
0.8,1.97u
0.8,2.00u
0.8,1.78u
0.8,2.03u
0.8,2.12u
0.8,2.01u
0.8,1.94u
0.9,1.99u
0.9,1.98u
0.9,2.08u
0.9,2.08u
0.9,2.01u
0.9,2.34u
0.9,1.99u
0.9,2.20u
0.9,2.30u
0.9,2.43u
0.9,2.45u
1,2.54u
1,2.62u
1,3.44u
1,4.71u
1,6.14u
1,9.15u
1,14.23u
1,22.51u
1,33.61u
1,49.01u
1,66.65u
1,89.91u
1,118.58u
1,153.26u
1,193.16u
1.1,438.60u
1.1,850.88u
1.1,1.26m
1.1,5.46m
1.1,8.92m
1.1,12.25m
1.1,15.83m
1.1,19.20m
1.1,22.81m
1.1,26.39m
1.2,30.29m
1.2,34.05m
1.2,38.28m
1.2,42.48m
1.2,46.71m
1.2,51.25m
1.2,55.75m
1.2,60.56m
1.2,65.34m
1.2,70.24m
1.2,81.36m
1.2,85.80m
1.3,90.69m
1.3,95.57m
1.3,100.97m
1.3,106.36m
1.3,119.46m
1.3,124.41m
1.3,129.69m
1.3,135.35m
1.3,149.41m
1.3,154.55m
1.3,160.23m
1.4,175.02m
1.4,180.43m
1.4,186.31m
