 - Plot 0, - Plot 0
0,45.51n
0,25.51n
0,68.27n
0,203.50n
0,13.24n
0.1,356.08n
0.1,242.11n
0.1,268.19n
0.1,99.46n
0.1,428.66n
0.1,391.94n
0.1,278.19n
0.1,314.15n
0.1,214.95n
0.1,205.12n
0.1,207.09n
0.2,490.45n
0.2,674.74n
0.2,517.83n
0.2,507.75n
0.2,368.08n
0.2,441.91n
0.2,360.85n
0.2,599.01n
0.2,564.82n
0.2,520.78n
0.3,554.52n
0.3,685.08n
0.3,590.65n
0.3,689.63n
0.3,690.51n
0.3,680.93n
0.3,742.72n
0.3,771.25n
0.3,1.03u
0.3,816.70n
0.3,950.06n
0.4,877.36n
0.4,748.15n
0.4,731.12n
0.4,797.87n
0.4,843.46n
0.4,701.33n
0.4,1.10u
0.4,907.34n
0.4,888.00n
0.4,1.18u
0.4,890.04n
0.5,1.12u
0.5,1.18u
0.5,1.18u
0.5,1.09u
0.5,1.02u
0.5,1.12u
0.5,1.43u
0.5,1.16u
0.5,1.14u
0.5,1.40u
0.6,1.01u
0.6,1.31u
0.6,1.24u
0.6,1.28u
0.6,1.30u
0.6,1.42u
0.6,1.44u
0.6,1.42u
0.6,1.46u
0.6,1.57u
0.6,1.38u
0.7,1.60u
0.7,1.38u
0.7,1.58u
0.7,1.71u
0.7,1.37u
0.7,1.67u
0.7,1.78u
0.7,1.67u
0.7,1.71u
0.7,1.58u
0.7,1.97u
0.8,1.70u
0.8,1.69u
0.8,1.98u
0.8,1.67u
0.8,1.89u
0.8,1.87u
0.8,1.77u
0.8,1.96u
0.8,2.06u
0.8,2.09u
0.8,2.18u
0.9,2.06u
0.9,2.08u
0.9,2.13u
0.9,2.16u
0.9,2.13u
0.9,2.31u
0.9,2.13u
0.9,2.24u
0.9,2.10u
0.9,2.21u
0.9,2.37u
1,2.24u
1,2.32u
1,2.22u
1,2.42u
1,2.40u
1,2.40u
1,2.50u
1,2.44u
1,2.57u
1,2.69u
1.1,2.53u
1.1,2.33u
1.1,2.30u
1.1,2.43u
1.1,2.61u
1.1,2.71u
1.1,2.66u
1.1,2.75u
1.1,2.67u
1.1,2.82u
1.1,2.93u
1.2,2.82u
1.2,2.72u
1.2,2.84u
1.2,2.83u
1.2,3.07u
1.2,2.80u
1.2,2.96u
1.2,2.84u
1.2,2.81u
1.2,2.89u
1.2,2.99u
1.3,3.05u
1.3,3.10u
1.3,3.02u
1.3,3.24u
1.3,3.10u
1.3,3.17u
1.3,3.15u
1.3,2.96u
1.3,3.23u
1.3,3.23u
1.3,3.21u
1.4,3.27u
1.4,3.20u
1.4,3.27u
1.4,3.22u
1.4,3.43u
1.4,3.38u
1.4,3.21u
1.4,3.55u
1.4,3.43u
1.4,3.41u
1.4,3.42u
1.5,3.38u
1.5,3.56u
1.5,3.48u
1.5,3.52u
1.5,3.60u
1.5,3.48u
1.5,3.81u
1.5,3.67u
1.5,3.70u
1.5,3.68u
1.6,3.83u
1.6,3.73u
1.6,3.77u
1.6,3.85u
1.6,3.58u
1.6,3.84u
1.6,3.85u
1.6,3.65u
1.6,4.01u
1.6,3.87u
1.6,3.85u
1.7,3.83u
1.7,4.08u
1.7,3.98u
1.7,4.17u
1.7,4.23u
1.7,3.91u
1.7,4.27u
1.7,4.30u
1.7,4.15u
1.7,4.17u
1.7,4.12u
1.8,4.49u
1.8,4.17u
1.8,4.42u
1.8,4.13u
1.8,4.23u
1.8,4.50u
1.8,4.15u
1.8,4.40u
1.8,4.58u
1.8,4.30u
1.9,4.59u
1.9,4.69u
1.9,4.57u
1.9,4.63u
1.9,4.67u
1.9,4.70u
1.9,4.68u
1.9,4.83u
1.9,4.75u
1.9,4.75u
1.9,4.99u
2,4.69u
2,4.90u
2,4.87u
2,5.06u
2,4.98u
2,5.19u
2,4.85u
2,4.99u
2,5.16u
2,5.31u
2,5.18u
2,5.19u
2.1,5.43u
2.1,5.47u
2.1,5.52u
2.1,5.60u
2.1,5.50u
2.1,5.85u
2.1,5.59u
2.1,5.60u
2.1,6.06u
2.1,5.92u
2.2,6.17u
2.2,6.26u
2.2,6.16u
2.2,6.48u
2.2,6.43u
2.2,6.50u
2.2,6.62u
2.2,6.93u
2.2,6.69u
2.2,6.97u
2.2,7.20u
2.3,7.25u
2.3,7.42u
2.3,7.75u
2.3,8.09u
2.3,7.88u
2.3,8.15u
2.3,8.57u
2.3,8.67u
2.3,8.90u
2.3,9.26u
2.3,9.42u
2.4,9.94u
2.4,10.24u
2.4,10.60u
2.4,10.99u
2.4,11.22u
2.4,11.64u
2.4,12.09u
2.4,12.70u
2.4,12.98u
2.4,13.46u
2.4,14.23u
2.5,14.57u
2.5,15.22u
2.5,15.91u
2.5,16.75u
2.5,17.51u
2.5,18.28u
2.5,18.98u
2.5,19.85u
2.5,20.90u
2.5,21.73u
2.5,22.82u
2.6,23.98u
2.6,25.00u
2.6,26.11u
2.6,27.55u
2.6,29.24u
2.6,30.28u
2.6,31.83u
2.6,33.70u
2.6,35.09u
2.6,37.18u
2.6,38.94u
2.7,41.10u
2.7,43.17u
2.7,45.10u
2.7,47.64u
2.7,50.02u
2.7,52.92u
2.7,55.17u
2.7,58.72u
2.7,61.96u
2.7,64.89u
2.7,68.02u
2.8,71.76u
2.8,75.83u
2.8,80.07u
2.8,84.50u
2.8,89.20u
2.8,93.13u
2.8,98.74u
2.8,104.82u
2.8,109.91u
2.8,116.41u
2.8,122.69u
2.9,129.98u
2.9,137.66u
2.9,145.02u
2.9,153.36u
2.9,161.35u
2.9,171.30u
2.9,181.27u
2.9,191.36u
2.9,201.54u
2.9,212.08u
2.9,224.77u
3,238.14u
3,251.42u
3,265.89u
3,280.81u
3,295.19u
3,312.41u
3,330.69u
3,349.81u
3,369.48u
3,388.75u
3,409.73u
3,433.32u
3,456.42u
3,481.44u
3.1,508.10u
3.1,538.25u
3.1,568.98u
3.1,600.98u
3.1,632.37u
3.1,665.85u
3.1,700.91u
3.1,738.06u
3.1,776.70u
3.1,815.93u
3.1,892.43u
3.1,965.45u
3.1,1.04m
3.2,1.13m
3.2,1.19m
3.2,1.30m
3.2,1.38m
3.2,1.49m
3.2,1.57m
3.2,1.70m
3.3,3.20m
3.3,3.34m
3.3,3.50m
