 - Plot 0, - Plot 0
0,162.01n
0,55.27n
0,70.90n
0.1,97.64n
0.1,213.03n
0.1,249.97n
0.1,233.88n
0.1,247.32n
0.1,145.96n
0.1,206.03n
0.1,245.72n
0.1,250.37n
0.1,388.25n
0.1,166.95n
0.2,375.42n
0.2,436.28n
0.2,171.37n
0.2,495.61n
0.2,365.12n
0.2,684.12n
0.2,455.91n
0.2,530.90n
0.2,698.55n
0.2,498.90n
0.3,473.93n
0.3,593.01n
0.3,715.33n
0.3,528.07n
0.3,635.85n
0.3,814.75n
0.3,773.61n
0.3,863.22n
0.3,635.14n
0.3,797.38n
0.3,786.54n
0.4,955.12n
0.4,758.74n
0.4,806.05n
0.4,979.65n
0.4,698.92n
0.4,969.89n
0.4,1.10u
0.4,1.03u
0.4,1.03u
0.4,924.69n
0.4,1.23u
0.5,1.10u
0.5,1.05u
0.5,1.19u
0.5,1.19u
0.5,1.17u
0.5,1.23u
0.5,1.26u
0.5,1.31u
0.5,1.13u
0.5,1.32u
0.5,1.34u
0.6,1.31u
0.6,1.31u
0.6,1.44u
0.6,1.55u
0.6,1.51u
0.6,1.29u
0.6,1.33u
0.6,1.66u
0.6,1.52u
0.6,1.33u
0.7,1.65u
0.7,1.48u
0.7,1.72u
0.7,1.40u
0.7,1.57u
0.7,1.69u
0.7,1.69u
0.7,1.83u
0.7,1.67u
0.7,1.75u
0.7,1.80u
0.8,1.62u
0.8,1.88u
0.8,1.69u
0.8,1.99u
0.8,1.87u
0.8,1.87u
0.8,2.14u
0.8,1.78u
0.8,2.07u
0.8,2.03u
0.8,1.93u
0.9,1.93u
0.9,2.02u
0.9,2.15u
0.9,2.18u
0.9,2.19u
0.9,2.20u
0.9,1.93u
0.9,2.26u
0.9,2.12u
0.9,2.22u
0.9,2.16u
1,2.22u
1,2.40u
1,2.15u
1,2.54u
1,2.28u
1,2.28u
1,2.44u
1,2.38u
1,2.71u
1,2.55u
1.1,2.42u
1.1,2.66u
1.1,2.40u
1.1,2.59u
1.1,2.61u
1.1,2.71u
1.1,2.71u
1.1,2.50u
1.1,2.59u
1.1,2.66u
1.1,2.71u
1.2,2.69u
1.2,2.81u
1.2,2.83u
1.2,2.66u
1.2,2.85u
1.2,2.74u
1.2,2.73u
1.2,2.72u
1.2,2.87u
1.2,2.90u
1.2,2.87u
1.3,3.04u
1.3,2.94u
1.3,3.00u
1.3,3.11u
1.3,3.20u
1.3,3.34u
1.3,3.35u
1.3,3.25u
1.3,3.15u
1.3,3.15u
1.3,3.45u
1.4,3.04u
1.4,3.22u
1.4,3.26u
1.4,3.22u
1.4,3.13u
1.4,3.36u
1.4,3.43u
1.4,3.46u
1.4,3.49u
1.4,3.40u
1.4,3.32u
1.5,3.49u
1.5,3.56u
1.5,3.56u
1.5,3.52u
1.5,3.45u
1.5,3.58u
